Prop_Addr,Delta,SalePrice,Value
1528 INDIANA AVE,34K,194K,undervalued by 
3838 HYDE AVE,34K,185K,undervalued by 
3832 BROOKDALE AVE,34K,194K,undervalued by 
3915 BRICKMAN AVE,33K,183K,undervalued by 
1124 SCHOLL RD,33K,185K,undervalued by 
1531 KENTUCKY AVE,33K,187K,undervalued by 
4720 DOVER DR,33K,190K,undervalued by 
4116 WELBECK DR,33K,185K,undervalued by 
431 OPAL CIR,33K,184K,undervalued by 
2035 WYNGATE DR,33K,185K,undervalued by 
2904 HARRISON RD,33K,184K,undervalued by 
4914 WALLER ST,33K,190K,undervalued by 
603 GARNET DR,33K,188K,undervalued by 
3917 WELBECK DR,33K,184K,undervalued by 
2732 NORTHRIDGE LN,33K,190K,undervalued by 
1925 HUNZIKER DR,33K,200K,undervalued by 
1516 NEBRASKA AVE,33K,189K,undervalued by 
623 9TH ST,32K,200K,undervalued by 
5404 MARYLAND ST,32K,193K,undervalued by 
1904 BEL AIR DR,32K,180K,undervalued by 
2306 CLARK AVE,32K,185K,undervalued by 
1025 GASKILL DR,32K,193K,undervalued by 
5307 CLEMENS BLVD,32K,191K,undervalued by 
5429 TENNESSEE ST,32K,185K,undervalued by 
3913 BERKSHIRE AVE,32K,188K,undervalued by 
2016 PINEHURST DR,32K,188K,undervalued by 
4024 FLETCHER BLVD,32K,192K,undervalued by 
1002 POE AVE,32K,189K,undervalued by 
2421 LAKESIDE DR,32K,185K,undervalued by 
1952 WYNGATE DR,32K,189K,undervalued by 
3827 BRICKMAN AVE,32K,200K,undervalued by 
5214 MARYLAND ST,31K,194K,undervalued by 
2309 WESTWIND DR,31K,195K,undervalued by 
3023 CEDAR LN,31K,172K,undervalued by 
5402 CERVANTES DR,31K,192K,undervalued by 
4009 BRICKMAN AVE,31K,188K,undervalued by 
2209 STONE BROOKE RD,31K,190K,undervalued by 
2520 CLAYTON DR,31K,185K,undervalued by 
2606 CLAYTON DR,31K,188K,undervalued by 
3411 BUCHANAN CT,31K,190K,undervalued by 
228 PARKRIDGE CIR,31K,180K,undervalued by 
5212 CERVANTES DR,31K,191K,undervalued by 
2412 WESTWIND DR,31K,191K,undervalued by 
5513 TENNESSEE ST,31K,188K,undervalued by 
2702 NORTHWOOD DR,31K,202K,undervalued by 
1700 PIERCE CT,31K,198K,undervalued by 
2406 WESTWIND DR,31K,192K,undervalued by 
1311 NEBRASKA AVE,31K,192K,undervalued by 
3412 JEWEL DR,31K,196K,undervalued by 
3812 EISENHOWER AVE,31K,188K,undervalued by 
3326 KINGMAN RD,31K,192K,undervalued by 
5426 TENNESSEE ST,31K,192K,undervalued by 
5020 CLEMENS BLVD,31K,192K,undervalued by 
1124 IDAHO AVE,30K,209K,undervalued by 
1522 LINDEN DR,30K,192K,undervalued by 
3103 CEDAR LN,30K,174K,undervalued by 
611 ASH AVE,30K,200K,undervalued by 
809 TENNYSON AVE,30K,197K,undervalued by 
2902 WHITE OAK DR,30K,195K,undervalued by 
1911 STONE BROOKE RD,30K,184K,undervalued by 
3908 STONE BROOKE CIR,30K,208K,undervalued by 
2408 WESTWIND DR,30K,192K,undervalued by 
2321 SUNDOWN DR,30K,203K,undervalued by 
2306 RED OAK DR,30K,204K,undervalued by 
4011 HYDE AVE,30K,192K,undervalued by 
1630 JOHNSON ST,30K,206K,undervalued by 
2130 PRAIRIE VIEW EAST,30K,196K,undervalued by 
2506 BRISTOL DR,30K,200K,undervalued by 
5305 NORRIS ST,29K,193K,undervalued by 
5307 MARYLAND ST,29K,205K,undervalued by 
5408 CERVANTES DR,29K,196K,undervalued by 
4014 BERKSHIRE AVE,29K,192K,undervalued by 
2926 ROXBORO DR,29K,192K,undervalued by 
3720 COLUMBINE CIR,29K,185K,undervalued by 
5301 CLEMENS BLVD,29K,200K,undervalued by 
1515 INDIANA AVE,29K,193K,undervalued by 
2933 WHITE OAK DR,29K,188K,undervalued by 
3914 EISENHOWER AVE,29K,188K,undervalued by 
3810 BERKSHIRE AVE,29K,191K,undervalued by 
225 PARKRIDGE CIR,29K,195K,undervalued by 
1418 NEBRASKA AVE,29K,190K,undervalued by 
2403 WELBECK DR,29K,200K,undervalued by 
901 RIDGEWOOD AVE,29K,210K,undervalued by 
5228 SCHUBERT ST,29K,187K,undervalued by 
3012 OAKLAND ST 3014,29K,179K,undervalued by 
2141 STEVENSON DR,28K,197K,undervalued by 
2732 THOMPSON DR,28K,205K,undervalued by 
2431 LAKESIDE DR,28K,188K,undervalued by 
2816 NORTHRIDGE LN,28K,194K,undervalued by 
4019 MARIGOLD DR,28K,196K,undervalued by 
2850 MONROE DR,28K,205K,undervalued by 
3405 POLARIS DR,28K,190K,undervalued by 
5412 MARYLAND ST,28K,203K,undervalued by 
501 GARDEN RD,28K,196K,undervalued by 
5513 DURANT ST,28K,187K,undervalued by 
2048 CESSNA ST,28K,200K,undervalued by 
2022 GREELEY ST,28K,194K,undervalued by 
3820 BERKSHIRE AVE,28K,204K,undervalued by 
2808 NORTHRIDGE LN,28K,197K,undervalued by 
5303 THACKERAY DR,28K,198K,undervalued by 
4010 BRICKMAN AVE,27K,196K,undervalued by 
727 CRYSTAL ST,27K,190K,undervalued by 
4919 WALLER ST,27K,196K,undervalued by 
5313 CLEMENS BLVD,27K,195K,undervalued by 
2414 WELBECK DR,27K,190K,undervalued by 
3901 WELBECK DR,27K,192K,undervalued by 
4025 BERKSHIRE AVE,27K,190K,undervalued by 
2012 COUNTRY CLUB BLVD,26K,198K,undervalued by 
4003 MARIGOLD DR,26K,198K,undervalued by 
3911 WELBECK DR,26K,188K,undervalued by 
406 PEARSON AVE,26K,188K,undervalued by 
822 POE AVE,26K,193K,undervalued by 
4011 BERKSHIRE AVE,26K,196K,undervalued by 
430 ASH AVE,25K,195K,undervalued by 
3028 COTTONTAIL LN,25K,201K,undervalued by 
2804 PINEHURST CIR,25K,194K,undervalued by 
3834 WELBECK DR,25K,193K,undervalued by 
809 POE AVE,25K,196K,undervalued by 
3425 ROSS RD,25K,187K,undervalued by 
4920 UTAH DR,25K,207K,undervalued by 
2000 POLK DR,25K,192K,undervalued by 
5014 CLEMENS BLVD,25K,198K,undervalued by 
2118 GREENBRIAR CIR,25K,201K,undervalued by 
619 POE AVE,25K,207K,undervalued by 
3920 WELBECK DR,25K,190K,undervalued by 
2811 NORTHWOOD DR,24K,207K,undervalued by 
2985 MONROE DR,24K,198K,undervalued by 
1215 HYLAND AVE,24K,219K,undervalued by 
415 BEEDLE DR,24K,176K,undervalued by 
3309 CLINTON CT,24K,210K,undervalued by 
3421 EISENHOWER AVE,24K,202K,undervalued by 
4008 BERKSHIRE AVE,24K,196K,undervalued by 
609 NORTHWESTERN AVE,24K,220K,undervalued by 
5007 KEATS ST,24K,200K,undervalued by 
818 TENNYSON AVE,24K,200K,undervalued by 
3103 EISENHOWER AVE,24K,200K,undervalued by 
4605 HEMINGWAY DR,24K,203K,undervalued by 
2609 CLAYTON DR,24K,197K,undervalued by 
5322 DURANT ST,24K,194K,undervalued by 
2003 GREENBRIAR CIR,24K,217K,undervalued by 
5327 DURANT ST,23K,194K,undervalued by 
2506 SHERWOOD AVE,23K,200K,undervalued by 
2813 BRISTOL DR,23K,196K,undervalued by 
218 CRANE AVE,23K,186K,undervalued by 
2823 ASPEN RD,23K,199K,undervalued by 
4512 HEMINGWAY DR,23K,211K,undervalued by 
910 BROOKRIDGE AVE,23K,202K,undervalued by 
609 ONYX ST,23K,201K,undervalued by 
4519 HEMINGWAY DR,23K,211K,undervalued by 
2902 ROXBORO DR,23K,202K,undervalued by 
5224 THACKERAY DR,23K,200K,undervalued by 
5321 DURANT ST,23K,194K,undervalued by 
2217 FILLMORE AVE,23K,198K,undervalued by 
2102 PRAIRIE VIEW EAST,22K,205K,undervalued by 
5426 CLEMENS BLVD,22K,203K,undervalued by 
2650 SOMERSET DR,22K,205K,undervalued by 
1111 ORCHARD DR,22K,205K,undervalued by 
2908 HARRISON RD,22K,196K,undervalued by 
2922 HARRISON RD,21K,195K,undervalued by 
4004 WELBECK DR,21K,201K,undervalued by 
5333 CERVANTES DR,21K,204K,undervalued by 
5419 DURANT ST,21K,200K,undervalued by 
5216 CLEMENS BLVD,21K,205K,undervalued by 
2410 GRANT CIR,21K,214K,undervalued by 
816 BROOKRIDGE AVE,21K,207K,undervalued by 
4532 CLEMENS BLVD,21K,210K,undervalued by 
2854 TORREY PINES RD,21K,206K,undervalued by 
5221 MARYLAND ST,21K,201K,undervalued by 
2908 ROXBORO DR,21K,210K,undervalued by 
2904 ROXBORO DR,21K,210K,undervalued by 
2910 ROXBORO DR,21K,205K,undervalued by 
903 POE AVE,21K,203K,undervalued by 
1309 BIG BLUESTEM CT,20K,203K,undervalued by 
3265 DARTMOOR RD,20K,229K,undervalued by 
2803 BRISTOL DR,20K,195K,undervalued by 
2009 BUCHANAN DR,20K,213K,undervalued by 
2027 POLK DR,20K,208K,undervalued by 
317 NORTH DAKOTA AVE,19K,200K,undervalued by 
2322 BUCHANAN DR,19K,215K,undervalued by 
1025 VERMONT CT,19K,215K,undervalued by 
1312 BIG BLUESTEM CT,19K,208K,undervalued by 
5110 CLEMENS BLVD,19K,213K,undervalued by 
3904 STONE BROOKE CIR,19K,212K,undervalued by 
5218 THACKERAY DR,19K,200K,undervalued by 
2810 NORTHRIDGE LN,19K,200K,undervalued by 
1948 WYNGATE DR,19K,202K,undervalued by 
3909 HYDE AVE,18K,211K,undervalued by 
2517 CLAYTON DR,18K,201K,undervalued by 
1704 PIERCE CT,18K,215K,undervalued by 
5402 TABOR DR,18K,212K,undervalued by 
4007 HYDE AVE,18K,213K,undervalued by 
324 WILDER BLVD,18K,207K,undervalued by 
2615 CLAYTON DR,18K,206K,undervalued by 
5322 THACKERAY DR,18K,205K,undervalued by 
2916 HARRISON RD,18K,200K,undervalued by 
3301 ROSS RD,17K,225K,undervalued by 
2805 WHITE OAK DR,17K,204K,undervalued by 
3001 SAPPHIRE CIR,17K,209K,undervalued by 
2914 ROXBORO DR,17K,203K,undervalued by 
2110 PRAIRIE VIEW EAST,17K,212K,undervalued by 
821 MILLER AVE,17K,208K,undervalued by 
923 VERMONT CIR,17K,220K,undervalued by 
5505 DURANT ST,17K,199K,undervalued by 
4920 CLEMENS BLVD,17K,211K,undervalued by 
836 BROOKRIDGE AVE,16K,214K,undervalued by 
5334 CERVANTES DR,16K,208K,undervalued by 
2018 CESSNA ST,16K,210K,undervalued by 
2908 WHITE OAK DR,16K,202K,undervalued by 
2835 ASPEN RD,16K,210K,undervalued by 
4619 CLEMENS BLVD,16K,210K,undervalued by 
5229 NEVADA CIR,16K,220K,undervalued by 
319 HARTFORD DR,16K,203K,undervalued by 
3009 TURQUOISE CIR,16K,210K,undervalued by 
914 BROOKRIDGE AVE,16K,210K,undervalued by 
314 HARTFORD DR,16K,213K,undervalued by 
3908 WELBECK DR,16K,215K,undervalued by 
2416 GRANT CIR,16K,225K,undervalued by 
2409 SUNCREST DR,16K,215K,undervalued by 
4033 EISENHOWER AVE,15K,222K,undervalued by 
2621 GREEN HILLS DR,15K,214K,undervalued by 
2317 CAMDEN DR,15K,204K,undervalued by 
607 CRYSTAL ST,15K,213K,undervalued by 
2219 HAYES AVE,15K,213K,undervalued by 
2318 CLAYTON DR,15K,209K,undervalued by 
905 TENNYSON AVE,15K,207K,undervalued by 
3314 CLINTON CT,15K,220K,undervalued by 
4624 CLEMENS BLVD,15K,220K,undervalued by 
1512 STONE BROOKE RD,15K,212K,undervalued by 
5300 NORRIS ST,15K,212K,undervalued by 
4103 CRESTMOOR AVE,15K,200K,undervalued by 
4620 WEBSTER ST,15K,217K,undervalued by 
2031 FRILEY RD,15K,215K,undervalued by 
2839 ROXBORO DR,15K,208K,undervalued by 
5325 CERVANTES DR,14K,214K,undervalued by 
1630 CRESTWOOD CIR,14K,208K,undervalued by 
2825 BUCKINGHAM CT,14K,214K,undervalued by 
2818 SOMERSET DR,14K,220K,undervalued by 
2110 COUNTRY CLUB BLVD,14K,218K,undervalued by 
1005 FLORIDA AVE,14K,213K,undervalued by 
2312 CLAYTON DR,14K,208K,undervalued by 
1709 BUCHANAN DR,14K,215K,undervalued by 
320 ASH AVE,14K,239K,undervalued by 
4500 HEMINGWAY DR,14K,220K,undervalued by 
1209 IDAHO AVE,14K,225K,undervalued by 
2024 PINEHURST DR,14K,212K,undervalued by 
4614 WEBSTER ST,14K,213K,undervalued by 
4817 WALLER ST,14K,210K,undervalued by 
606 DOYLE AVE,13K,209K,undervalued by 
333 PEARSON AVE,13K,205K,undervalued by 
1320 NEBRASKA AVE,13K,215K,undervalued by 
4102 CRESTMOOR AVE,13K,203K,undervalued by 
2920 HARRISON RD,13K,204K,undervalued by 
5225 CERVANTES DR,13K,217K,undervalued by 
4939 HEMINGWAY DR,13K,228K,undervalued by 
1632 TRUMAN DR,13K,213K,undervalued by 
2518 YORKSHIRE ST,13K,221K,undervalued by 
5319 CLEMENS BLVD,13K,218K,undervalued by 
2710 THOMPSON DR,13K,226K,undervalued by 
3814 BRICKMAN AVE,13K,220K,undervalued by 
3317 CULLEN DR,13K,214K,undervalued by 
2866 TORREY PINES RD,13K,214K,undervalued by 
839 POE AVE,12K,214K,undervalued by 
812 TENNYSON AVE,12K,214K,undervalued by 
1226 IDAHO CT,12K,218K,undervalued by 
3012 SAPPHIRE CIR,12K,215K,undervalued by 
4709 CLEMENS BLVD,12K,222K,undervalued by 
2137 PRAIRIE VIEW EAST,12K,230K,undervalued by 
1818 WATERBURY CIR,12K,214K,undervalued by 
2231 CLARK AVE,12K,214K,undervalued by 
3126 NORTHWOOD DR,12K,215K,undervalued by 
821 POE AVE,12K,213K,undervalued by 
2840 ASPEN RD,12K,213K,undervalued by 
2524 YORKSHIRE ST,11K,222K,undervalued by 
2166 ASHMORE DR,11K,223K,undervalued by 
2914 HARRISON RD,11K,207K,undervalued by 
5407 DURANT ST,11K,206K,undervalued by 
2008 PINEHURST DR,11K,214K,undervalued by 
1926 GEORGE ALLEN AVE,11K,242K,undervalued by 
2522 PIERCE AVE,11K,218K,undervalued by 
1034 VERMONT CT,11K,225K,undervalued by 
2907 ROXBORO DR,11K,212K,undervalued by 
5312 NORRIS ST,11K,211K,undervalued by 
5200 CERVANTES DR,11K,217K,undervalued by 
3300 EISENHOWER AVE,11K,229K,undervalued by 
1017 FLORIDA AVE,11K,220K,undervalued by 
2111 ASHMORE CIR,11K,215K,undervalued by 
3809 WESTLAWN DR,10K,215K,undervalued by 
3907 WESTLAWN DR,10K,216K,undervalued by 
2313 WESTWIND DR,10K,215K,undervalued by 
4020 HASTINGS AVE,10K,214K,undervalued by 
2411 GRANT CIR,10K,222K,undervalued by 
4002 MARIGOLD DR,10K,229K,undervalued by 
1700 BEL AIR DR,9K,224K,undervalued by 
2004 GREENBRIAR CIR,9K,224K,undervalued by 
828 ASH AVE,9K,220K,undervalued by 
2738 SOMERSET DR,9K,216K,undervalued by 
2425 CAMDEN DR,9K,221K,undervalued by 
2415 LAKESIDE DR,9K,213K,undervalued by 
2218 WINDFIELD DR,9K,225K,undervalued by 
909 TENNYSON AVE,9K,220K,undervalued by 
2610 TIMBERLAND RD,9K,228K,undervalued by 
3416 CLINTON CT,9K,235K,undervalued by 
2211 BUCHANAN DR,8K,226K,undervalued by 
505 POE CIR,8K,214K,undervalued by 
2907 ARROWWOOD CIR,8K,221K,undervalued by 
2820 NORTHWOOD DR,8K,244K,undervalued by 
2841 ASPEN RD,8K,210K,undervalued by 
3309 EMERALD DR,8K,215K,undervalued by 
2222 STORM ST,8K,234K,undervalued by 
408 HARTFORD DR,8K,217K,undervalued by 
2332 WESTWIND DR,8K,220K,undervalued by 
3223 CULLEN DR,8K,213K,undervalued by 
804 POE AVE,7K,219K,undervalued by 
3808 HYDE AVE,7K,230K,undervalued by 
5249 THACKERAY DR,7K,216K,undervalued by 
923 NEW HAMPSHIRE CIR,7K,225K,undervalued by 
2869 GREENSBORO CIR,7K,218K,undervalued by 
806 VERMONT CIR,7K,228K,undervalued by 
2634 SOMERSET DR,7K,226K,undervalued by 
1036 ASH AVE,7K,218K,undervalued by 
3903 WESTLAWN DR,7K,230K,undervalued by 
2204 FILLMORE AVE,7K,240K,undervalued by 
2514 DALTON ST,7K,227K,undervalued by 
527 BROWN CT,6K,220K,undervalued by 
2314 WESTWIND DR,6K,226K,undervalued by 
505 SMILEY AVE,6K,230K,undervalued by 
2517 SHERWOOD AVE,6K,223K,undervalued by 
2500 KELLOGG AVE,6K,227K,undervalued by 
519 POE CIR,6K,230K,undervalued by 
4630 CLEMENS BLVD,6K,227K,undervalued by 
5427 CLEMENS BLVD,6K,221K,undervalued by 
2935 EISENHOWER AVE,6K,250K,undervalued by 
4812 HEMINGWAY DR,6K,230K,undervalued by 
2910 HARRISON RD,6K,213K,undervalued by 
1624 BUCHANAN DR,6K,235K,undervalued by 
719 DOUGLAS AVE,5K,240K,undervalued by 
4539 HEMINGWAY DR,5K,228K,undervalued by 
1102 IDAHO AVE,5K,228K,undervalued by 
718 WILDER BLVD,5K,224K,undervalued by 
2114 GREENBRIAR CIR,5K,224K,undervalued by 
3421 OAKLAND ST,5K,240K,undervalued by 
3820 WESTLAWN DR,5K,227K,undervalued by 
2816 ASPEN RD,),215K,fair price
1018 VERMONT CT,),226K,fair price
2909 WHITE OAK DR,),220K,fair price
5405 THACKERAY DR,),217K,fair price
4927 HEMINGWAY DR,),222K,fair price
2802 TORREY PINES CIR,),218K,fair price
4612 CLEMENS BLVD,),240K,fair price
5425 DURANT ST,),222K,fair price
522 SMILEY AVE,),237K,fair price
2014 KILDEE ST,),239K,fair price
5020 WALLER ST,),232K,fair price
2805 BRISTOL DR,),222K,fair price
2847 ASPEN RD,),208K,fair price
2304 FILLMORE AVE,),227K,fair price
621 SHELLEY AVE,),225K,fair price
415 ASPEN RIDGE RD,),235K,fair price
124 HARTFORD DR,),225K,fair price
5013 KEATS ST,),225K,fair price
543 FOREST GLEN,),235K,fair price
603 ASH AVE,),231K,fair price
3813 WESTLAWN DR,),236K,fair price
411 HARTFORD DR,),239K,fair price
2833 ROSS RD,),244K,fair price
1003 VERMONT CT,),229K,fair price
1239 ORCHARD DR,),224K,fair price
4012 HYDE AVE,),225K,fair price
400 PEARSON AVE,),230K,fair price
3010 HARRISON RD,),233K,fair price
413 HAWTHORNE  AVE,),225K,fair price
5505 MARYLAND ST,),233K,fair price
2404 WESTWIND DR,),225K,fair price
4908 CLEMENS BLVD,),230K,fair price
3306 KENT AVE,),232K,fair price
2129 STEVENSON DR,),249K,fair price
3005 CEDAR LN,),220K,fair price
3004 NORTHWOOD DR,),244K,fair price
4707 HEMINGWAY DR,),236K,fair price
2603 KINGSTON DR,),227K,fair price
611 CHELSEA CT,),234K,fair price
5315 THACKERAY DR,),226K,fair price
5401 CLEMENS BLVD,),227K,fair price
5421 CLEMENS BLVD,),226K,fair price
4801 IDAHO CIR,),238K,fair price
723 WILDER BLVD,),230K,fair price
1007 VERMONT CT,),240K,fair price
307 CRYSTAL ST,),215K,fair price
801 TENNYSON AVE,),240K,fair price
2612 CLEVELAND DR,),240K,fair price
4131 STONE BROOKE RD,),236K,fair price
2754 SOMERSET DR,),235K,fair price
2417 GRANT CIR,),245K,fair price
215 HARTFORD DR,),234K,fair price
2616 KINGSTON DR,),228K,fair price
2029 PRAIRIE VIEW EAST,),244K,fair price
3312 OAKLAND ST,),235K,fair price
601 CHELSEA CT,),240K,fair price
1127 BURNETT AVE,),256K,fair price
2907 DUFF AVE,),238K,fair price
2311 SUNCREST DR,),232K,fair price
2614 SOUTHRIDGE CIR,),235K,fair price
1005 DELAWARE AVE 1007,),224K,fair price
1006 VERMONT CT,),236K,fair price
2816 PINEHURST CIR,),255K,fair price
2509 CAMDEN DR,),239K,fair price
4520 CLEMENS BLVD,),237K,fair price
717 WILDER BLVD,),232K,fair price
5308 KANSAS DR,),224K,fair price
2651 SOMERSET DR,),230K,fair price
4916 HEMINGWAY DR,),235K,fair price
3127 ALMOND RD,),250K,fair price
2513 PIERCE AVE,),250K,fair price
5010 ONTARIO ST,),228K,fair price
3205 CULLEN DR,),235K,fair price
3715 JEWEL DR,),231K,fair price
4139 STONE BROOKE RD,),240K,fair price
2613 YORKSHIRE ST,),232K,fair price
1724 MEADOWLANE AVE,),242K,fair price
2510 WHITE OAK DR,),250K,fair price
2117 GREENBRIAR CIR,),236K,fair price
3109 ALMOND RD,5K,248K,overvalued by 
5207 CERVANTES DR,5K,236K,overvalued by 
2006 POLK DR,6K,242K,overvalued by 
3714 WOODLAND ST,6K,216K,overvalued by 
3122 SEDWICK ST,6K,253K,overvalued by 
4616 HEMINGWAY DR,6K,240K,overvalued by 
712 WILDER BLVD,6K,235K,overvalued by 
5025 KEATS ST,6K,237K,overvalued by 
203 HARTFORD DR,7K,237K,overvalued by 
4309 HARRISON CIR,7K,240K,overvalued by 
3432 OAKLAND ST,7K,243K,overvalued by 
1601 AMHERST DR,7K,260K,overvalued by 
5423 THACKERAY DR,7K,235K,overvalued by 
2404 CLAYTON DR,8K,234K,overvalued by 
1608 STONE BROOKE RD,8K,239K,overvalued by 
2905 ROXBORO DR,8K,230K,overvalued by 
5232 SCHUBERT ST,8K,232K,overvalued by 
3145 SYCAMORE RD,8K,260K,overvalued by 
407 PEARSON AVE,9K,238K,overvalued by 
2723 SOMERSET DR,9K,241K,overvalued by 
1002 VERMONT CT,9K,240K,overvalued by 
1518 GOLDEN ASPEN DR,9K,246K,overvalued by 
3220 KENT AVE,9K,240K,overvalued by 
2822 ASPEN RD,10K,230K,overvalued by 
304 TOPAZ CT,10K,240K,overvalued by 
2818 TORREY PINES RD,10K,242K,overvalued by 
3122 BECKLEY ST,10K,250K,overvalued by 
2826 CAMBRIDGE DR,11K,238K,overvalued by 
5309 TABOR DR,11K,240K,overvalued by 
4313 HARRISON CIR,11K,250K,overvalued by 
2403 LAKESIDE DR,11K,234K,overvalued by 
2910 BAYBERRY RD,11K,252K,overvalued by 
2419 KINGSTON DR,11K,250K,overvalued by 
623 AGG AVE,11K,250K,overvalued by 
703 ONYX ST,11K,228K,overvalued by 
322 TOPAZ CT,12K,251K,overvalued by 
2503 RIDGETOP RD,12K,260K,overvalued by 
4106 WELBECK DR,12K,258K,overvalued by 
5002 CLEMENS BLVD,12K,256K,overvalued by 
829 DOUGLAS AVE,12K,266K,overvalued by 
5303 TABOR DR,12K,245K,overvalued by 
2612 CLAYTON DR,12K,230K,overvalued by 
5408 TABOR DR,12K,246K,overvalued by 
4202 STONE BROOKE RD,12K,240K,overvalued by 
2731 CAMBRIDGE DR,13K,250K,overvalued by 
4207 STONE BROOKE RD,13K,248K,overvalued by 
3517 OAKLAND ST,13K,255K,overvalued by 
3038 REDBUD CIR,13K,248K,overvalued by 
2515 DALTON ST,13K,245K,overvalued by 
1205 IDAHO CT,13K,260K,overvalued by 
516 OLIVER CIR,13K,242K,overvalued by 
4923 HEMINGWAY DR,13K,255K,overvalued by 
2604 KINGSTON DR,14K,252K,overvalued by 
3840 WESTLAWN DR,14K,244K,overvalued by 
3604 ROSS RD,14K,235K,overvalued by 
2531 PIERCE AVE,14K,257K,overvalued by 
4019 STONE BROOKE RD,14K,270K,overvalued by 
2118 IRONWOOD CT,15K,242K,overvalued by 
3005 BURNHAM DR,15K,248K,overvalued by 
3211 CULLEN DR,15K,245K,overvalued by 
3020 HARRISON RD,15K,246K,overvalued by 
821 CRYSTAL ST,15K,242K,overvalued by 
526 SMILEY AVE,15K,255K,overvalued by 
2910 NORTHWOOD DR,15K,268K,overvalued by 
5412 TABOR DR,16K,248K,overvalued by 
2106 IRONWOOD CT,16K,244K,overvalued by 
2009 CESSNA ST,16K,258K,overvalued by 
2523 YORKSHIRE ST,16K,245K,overvalued by 
4120 VALLEY VIEW RD,16K,260K,overvalued by 
1340 CALIFORNIA AVE,16K,257K,overvalued by 
3125 WESTON DR,16K,250K,overvalued by 
3217 EISENHOWER AVE,16K,260K,overvalued by 
2617 KINGSTON DR,17K,250K,overvalued by 
4321 STONE BROOKE RD,17K,251K,overvalued by 
2413 KINGSTON DR,17K,250K,overvalued by 
3337 WESTON DR,17K,252K,overvalued by 
2625 YORKSHIRE ST,17K,247K,overvalued by 
2527 CLAYTON DR,17K,241K,overvalued by 
2845 GREENSBORO CIR,17K,246K,overvalued by 
2025 PRAIRIE VIEW EAST,17K,255K,overvalued by 
603 CRYSTAL ST,17K,255K,overvalued by 
1106 IDAHO AVE,17K,262K,overvalued by 
4813 DOVER DR,17K,277K,overvalued by 
906 DELAWARE AVE,18K,270K,overvalued by 
3001 VALLEY VIEW RD,18K,264K,overvalued by 
1516 GOLDEN ASPEN DR,18K,250K,overvalued by 
2428 KINGSTON DR,18K,253K,overvalued by 
5115 CLEMENS BLVD,18K,250K,overvalued by 
905 NORTH DAKOTA AVE,18K,270K,overvalued by 
907 NORTH DAKOTA AVE,18K,270K,overvalued by 
3838 BRICKMAN AVE,18K,258K,overvalued by 
3120 WESTON DR,18K,256K,overvalued by 
3108 SYCAMORE RD,19K,263K,overvalued by 
303 RUBY CIR,19K,245K,overvalued by 
618 DOYLE AVE,19K,247K,overvalued by 
2620 CAMDEN DR,19K,254K,overvalued by 
223 E 9TH ST,19K,295K,overvalued by 
2421 YORKSHIRE CIR,19K,253K,overvalued by 
2320 TIMBERLAND RD,19K,257K,overvalued by 
3306 CULLEN DR,19K,257K,overvalued by 
2019 FRILEY RD,19K,257K,overvalued by 
1910 STEVENSON DR,20K,278K,overvalued by 
608 POE AVE,20K,267K,overvalued by 
4112 HASTINGS AVE,20K,259K,overvalued by 
2420 LAKESIDE DR,20K,247K,overvalued by 
1904 BUCHANAN DR,20K,272K,overvalued by 
2507 DALTON ST,20K,255K,overvalued by 
916 GASKILL DR,21K,266K,overvalued by 
2124 COUNTRY CLUB BLVD,21K,260K,overvalued by 
1616 AMHERST DR,21K,275K,overvalued by 
2749 CLEVELAND DR,21K,262K,overvalued by 
2511 YORKSHIRE ST,21K,249K,overvalued by 
2422 KINGSTON DR,21K,256K,overvalued by 
3215 TUPELO CIR,22K,265K,overvalued by 
2304 WESTWIND DR,22K,247K,overvalued by 
3130 SEDWICK ST,22K,256K,overvalued by 
925 GASKILL DR,22K,263K,overvalued by 
2811 ASPEN RD,22K,253K,overvalued by 
2505 KINGSTON DR,22K,255K,overvalued by 
4701 HEMINGWAY DR,22K,262K,overvalued by 
3016 HARRISON RD,23K,256K,overvalued by 
3014 ASPEN RD,23K,260K,overvalued by 
2810 ASPEN RD,23K,255K,overvalued by 
4639 HEMINGWAY DR,23K,275K,overvalued by 
614 POE AVE,23K,268K,overvalued by 
2523 DALTON ST,24K,258K,overvalued by 
4006 HYDE AVE,24K,270K,overvalued by 
1033 GASKILL DR,24K,258K,overvalued by 
2700 NORTHRIDGE CIR,25K,262K,overvalued by 
2430 RIDGETOP CIR,25K,285K,overvalued by 
2720 THOMPSON DR,25K,256K,overvalued by 
4811 IDAHO CIR,25K,272K,overvalued by 
3102 BURNHAM DR,25K,266K,overvalued by 
2416 KINGSTON DR,26K,265K,overvalued by 
2713 NORTHRIDGE CIR,27K,268K,overvalued by 
3127 ASPEN RD,27K,260K,overvalued by 
209 HARTFORD DR,27K,260K,overvalued by 
2819 BRISTOL DR,28K,281K,overvalued by 
2512 KINGSTON DR,28K,266K,overvalued by 
515 BROWN CT,28K,274K,overvalued by 
415 PAULSON DR,28K,278K,overvalued by 
3721 WOODLAND ST,29K,260K,overvalued by 
2607 YORKSHIRE ST,29K,260K,overvalued by 
2711 CAMBRIDGE DR,29K,262K,overvalued by 
2421 CLAYTON DR,29K,263K,overvalued by 
2625 CLAYTON DR,29K,261K,overvalued by 
3802 HOOVER AVE,30K,260K,overvalued by 
